pagenation,region,hpatitisc-incidence,heptitisc-ir,heptitisc-death,heptitisc-dr,heptitisb-incidence,heptitisb-death,heptitisb-ir,heptitisb-dr,hepatitise-incidence,hepatitise-death,hepatitise-ir,hepatitise-dr,hepatitisa-incidence,hepatitisa-death,hepatitisa-ir,hepatitisa-dr,hepatitis-incidence,hepatitis-death,hepatitis-ir,hepatitis-dr,hepatitisun-incidence,hepatitisun-death,hepatitisun-ir,hepatitisun-dr
14-Jan,新疆,1053,4.6504,0,0,3388,1,14.9627,0.0044,21,0,0.0927,0,347,0,1.5325,0,4881,1,21.5563,0.0044,72,0,0.318,0
15-Oct,河北省,702,0.9507,0,0,4675,2,6.3315,0.0027,60,0,0.0813,0,34,0,0.046,0,5537,2,7.4989,0.0027,66,0,0.0894,0
12-Feb,西??? 藏,5,0.1648,0,0,55,0,1.8133,0,0,0,0,0,8,0,0.2638,0,68,0,2.2419,0,0,0,0,0
11-Dec,上海市,40,0.1738,0,0,357,0,1.5509,0,45,0,0.1955,0,28,0,0.1216,0,508,0,2.2069,0,38,0,0.1651,0
5-Dec,广东省,313,0.3428,0,0,5981,11,6.551,0.012,65,0,0.0712,0,122,0,0.1336,0,6703,11,7.3418,0.012,222,0,0.2432,0
13-Dec,广??? 西,746,1.5933,0,0,2827,2,6.038,0.0043,93,0,0.1986,0,42,0,0.0897,0,3887,2,8.302,0.0043,179,0,0.3823,0
8-May,江苏省,160,0.2098,0,0,1544,1,2.0249,0.0013,231,0,0.303,0,172,0,0.2256,0,2446,1,3.2079,0.0013,339,0,0.4446,0
8-Mar,山西省,412,1.2143,1,0.0029,3949,1,11.6387,0.0029,14,0,0.0413,0,112,0,0.3301,0,4610,2,13.5868,0.0059,123,0,0.3625,0
6-Dec,贵州省,79,0.2118,0,0,1513,2,4.0563,0.0054,4,0,0.0107,0,355,0,0.9517,0,2040,2,5.4692,0.0054,89,0,0.2386,0
9-Apr,河南省,2009,2.1307,4,0.0042,14358,3,15.2275,0.0032,54,0,0.0573,0,369,0,0.3913,0,16910,7,17.934,0.0074,120,0,0.1273,0
10-Jun,黑龙江省,439,1.1474,1,0.0026,1219,4,3.1861,0.0105,26,0,0.068,0,23,0,0.0601,0,1803,5,4.7125,0.0131,96,0,0.2509,0
9-Jul,安徽省,217,0.3537,0,0,2970,9,4.8411,0.0147,92,0,0.15,0,105,1,0.1711,0.0016,3563,10,5.8077,0.0163,179,0,0.2918,0
7-Mar,广??? 西,433,0.9176,0,0,3202,5,6.7853,0.0106,52,0,0.1102,0,185,0,0.392,0,4112,5,8.7137,0.0106,240,0,0.5086,0
10-Feb,江苏省,120,0.1553,0,0,894,0,1.1573,0,421,1,0.545,0.0013,97,0,0.1256,0,1788,1,2.3146,0.0013,256,0,0.3314,0
15-Feb,贵州省,296,0.8438,0,0,1408,0,4.0136,0,36,0,0.1026,0,20,0,0.057,0,1781,0,5.0769,0,21,0,0.0599,0
5-Apr,辽宁省,267,0.6332,1,0.0024,2611,2,6.1917,0.0047,253,2,0.6,0.0047,232,2,0.5502,0.0047,3644,7,8.6414,0.0166,281,0,0.6664,0
4-Apr,全国,3368,0.2591,4,0.0003,83752,57,6.4431,0.0044,1752,4,0.1348,0.0003,8473,3,0.6518,0.0002,105671,84,8.1293,0.0065,8326,16,0.6405,0.0012
11-Dec,西??? 藏,2,0.0667,0,0,60,0,2.0005,0,0,0,0,0,7,0,0.2334,0,71,0,2.3672,0,2,0,0.0667,0
9-Jul,江苏省,166,0.2162,1,0.0013,1322,4,1.722,0.0052,208,0,0.2709,0,134,0,0.1745,0,2170,5,2.8265,0.0065,340,0,0.4429,0
9-May,新疆,714,3.3509,0,0,4261,3,19.9972,0.0141,14,0,0.0657,0,138,0,0.6476,0,5172,3,24.2726,0.0141,45,0,0.2112,0
9-Aug,海南省,49,0.5738,0,0,553,0,6.4754,0,2,0,0.0234,0,21,0,0.2459,0,687,0,8.0445,0,62,0,0.726,0
4-Oct,西藏,0,0,0,0,32,0,1.2253,0,0,0,0,0,68,0,2.6038,0,108,0,4.1354,0,8,0,0.3063,0
8-Jan,江西省,89,0.2038,0,0,3083,4,7.0581,0.0092,31,0,0.071,0,107,0,0.245,0,3473,4,7.951,0.0092,163,0,0.3732,0
11-Oct,福建省,187,0.5069,0,0,3347,3,9.0719,0.0081,70,0,0.1897,0,58,0,0.1572,0,4102,3,11.1182,0.0081,440,0,1.1926,0
16-Dec,辽宁省,638,1.453,0,0,1672,0,3.8078,0,146,0,0.3325,0,161,0,0.3667,0,2710,0,6.1717,0,92,0,0.2095,0
15-Jan,天津市,47,0.3099,0,0,152,0,1.0021,0,9,0,0.0593,0,7,0,0.0461,0,223,0,1.4702,0,8,0,0.0527,0
12-Oct,贵州省,231,0.6659,0,0,1747,1,5.036,0.0029,28,0,0.0807,0,54,0,0.1557,0,2110,1,6.0824,0.0029,50,0,0.1441,0
15-Feb,山东省,278,0.284,0,0,3634,1,3.7122,0.001,108,0,0.1103,0,43,0,0.0439,0,4177,1,4.2668,0.001,114,0,0.1165,0
16-Jan,浙江省,214,0.3885,0,0,1019,0,1.85,0,142,0,0.2578,0,26,0,0.0472,0,1514,0,2.7487,0,113,0,0.2052,0
11-Jun,云南省,480,1.0442,1,0.0022,1953,1,4.2488,0.0022,53,0,0.1153,0,204,0,0.4438,0,2716,2,5.9087,0.0044,26,0,0.0566,0
9-Jun,山东省,125,0.1327,0,0,2904,1,3.0837,0.0011,84,0,0.0892,0,39,0,0.0414,0,3321,1,3.5265,0.0011,169,0,0.1795,0
11-Aug,吉林省,717,2.6108,0,0,1545,1,5.6258,0.0036,21,0,0.0765,0,24,0,0.0874,0,2344,1,8.5352,0.0036,37,0,0.1347,0
5-Nov,山东省,90,0.0979,0,0,3201,3,3.4815,0.0033,38,0,0.0413,0,86,0,0.0935,0,3652,3,3.972,0.0033,237,0,0.2578,0
14-Jan,云南省,815,1.739,1,0.0021,2212,0,4.7198,0,50,0,0.1067,0,77,0,0.1643,0,3167,1,6.7576,0.0021,13,0,0.0277,0
7-Jun,天津市,49,0.4558,0,0,533,0,4.9581,0,34,0,0.3163,0,4,0,0.0372,0,643,0,5.9814,0,23,0,0.214,0
16-May,陕西省,658,1.743,0,0,1754,2,4.6462,0.0053,25,0,0.0662,0,24,0,0.0636,0,2479,2,6.5667,0.0053,17,0,0.045,0
15-Oct,广东省,1720,1.6039,0,0,11673,6,10.8849,0.0056,224,0,0.2089,0,156,0,0.1455,0,13973,7,13.0297,0.0065,200,1,0.1865,0.0009
5-Apr,宁??? 夏,14,0.2375,0,0,801,0,13.5872,0,1,0,0.017,0,59,0,1.0008,0,889,0,15.0799,0,14,0,0.2375,0
10-Oct,海南省,87,1.0069,0,0,528,0,6.1106,0,5,0,0.0579,0,20,0,0.2315,0,702,0,8.1243,0,62,0,0.7175,0
6-Sep,内蒙古,247,1.0352,0,0,2439,0,10.2221,0,11,1,0.0461,0.0042,59,0,0.2473,0,2812,1,11.7854,0.0042,56,0,0.2347,0
5-Dec,河北省,133,0.1953,1,0.0015,3659,1,5.3734,0.0015,48,0,0.0705,0,188,0,0.2761,0,4159,2,6.1076,0.0029,131,0,0.1924,0
14-Jul,广??? 西,838,1.7758,0,0,3198,0,6.7769,0,91,0,0.1928,0,93,0,0.1971,0,4364,0,9.2477,0,144,0,0.3051,0
15-Aug,四川省,786,0.9656,0,0,3428,2,4.2112,0.0025,71,0,0.0872,0,231,0,0.2838,0,4611,2,5.6645,0.0025,95,0,0.1167,0
5-Apr,北京市,82,0.5337,0,0,550,3,3.5799,0.0195,37,0,0.2408,0,34,0,0.2213,0,797,3,5.1876,0.0195,94,0,0.6118,0
4-Jun,宁夏,9,0.1541,0,0,820,0,14.0422,0,2,0,0.0342,0,110,0,1.8837,0,967,0,16.5596,0,26,0,0.4452,0
9-Jan,安徽省,164,0.2673,1,0.0016,3029,1,4.9373,0.0016,120,0,0.1956,0,77,0,0.1255,0,3588,2,5.8484,0.0033,198,0,0.3227,0
5-Mar,西??? 藏,0,0,0,0,33,0,1.2039,0,0,0,0,0,25,0,0.912,0,65,0,2.3713,0,7,0,0.2554,0
12-Dec,河南省,2597,2.7663,0,0,6540,5,6.9663,0.0053,49,0,0.0522,0,119,0,0.1268,0,9359,5,9.9691,0.0053,54,0,0.0575,0
16-Apr,贵州省,397,1.1317,0,0,1424,0,4.0593,0,44,0,0.1254,0,22,0,0.0627,0,1902,0,5.4218,0,13,0,0.0371,0
16-Aug,河北省,684,0.9264,1,0.0014,5053,1,6.8434,0.0014,59,0,0.0799,0,30,0,0.0406,0,5885,2,7.9702,0.0027,58,0,0.0786,0
4-Apr,河南省,423,0.4364,0,0,9702,1,10.0103,0.001,17,0,0.0175,0,769,1,0.7934,0.001,11171,3,11.526,0.0031,260,1,0.2683,0.001
16-Aug,黑龙江省,326,0.8505,1,0.0026,767,0,2.001,0,33,0,0.0861,0,25,0,0.0652,0,1209,1,3.1542,0.0026,57,0,0.1487,0
9-Jul,四川省,409,0.4998,0,0,5876,5,7.1811,0.0061,30,0,0.0367,0,485,1,0.5927,0.0012,7114,6,8.694,0.0073,314,0,0.3837,0
7-Aug,黑龙江省,349,0.9129,1,0.0026,1979,5,5.1766,0.0131,56,0,0.1465,0,65,0,0.17,0,2625,6,6.8663,0.0157,176,0,0.4604,0
14-Mar,北京市,87,0.4114,1,0.0047,147,5,0.6951,0.0236,36,0,0.1702,0,21,0,0.0993,0,296,6,1.3997,0.0284,5,0,0.0236,0
9-Sep,河北省,305,0.4364,0,0,4525,0,6.4746,0,33,0,0.0472,0,50,0,0.0715,0,5001,0,7.1557,0,88,0,0.1259,0
6-Mar,全??? 国,6461,0.4941,20,0.0015,103085,94,7.8838,0.0072,2768,9,0.2117,0.0007,6157,3,0.4709,0.0002,125135,137,9.5701,0.0105,6664,11,0.5097,0.0008
5-Jan,内蒙古,184,0.7747,1,0.0042,2287,2,9.6293,0.0084,1,0,0.0042,0,110,0,0.4632,0,2654,3,11.1746,0.0126,72,0,0.3032,0
8-Jul,重庆市,174,0.6179,0,0,2654,1,9.4247,0.0036,14,0,0.0497,0,190,0,0.6747,0,3120,1,11.0796,0.0036,88,0,0.3125,0
5-May,海南省,18,0.2193,0,0,733,0,8.9317,0,1,0,0.0122,0,110,0,1.3404,0,911,0,11.1007,0,49,0,0.5971,0
16-Jan,海南省,243,2.6896,1,0.0111,966,0,10.692,0,27,0,0.2988,0,5,0,0.0553,0,1264,1,13.9903,0.0111,23,0,0.2546,0
4-Apr,安徽省,68,0.1055,0,0,3121,2,4.8439,0.0031,99,0,0.1537,0,358,0,0.5556,0,4000,2,6.2082,0.0031,354,0,0.5494,0
11-Mar,青海省,143,2.5414,0,0,1206,1,21.4335,0.0178,14,0,0.2488,0,51,0,0.9064,0,1426,1,25.3434,0.0178,12,0,0.2133,0
16-Feb,浙江省,178,0.3232,0,0,913,0,1.6576,0,149,0,0.2705,0,44,0,0.0799,0,1391,0,2.5254,0,107,0,0.1943,0
11-Oct,西??? 藏,5,0.1667,0,0,83,0,2.7673,0,0,0,0,0,4,0,0.1334,0,92,0,3.0674,0,0,0,0,0
13-Sep,天津市,26,0.184,0,0,108,1,0.7642,0.0071,8,0,0.0566,0,2,0,0.0142,0,149,1,1.0544,0.0071,5,0,0.0354,0
14-May,天津市,41,0.2785,0,0,163,0,1.1072,0,11,0,0.0747,0,3,0,0.0204,0,224,0,1.5215,0,6,0,0.0408,0
12-May,新疆,1060,4.7992,1,0.0045,3997,2,18.0966,0.0091,19,0,0.086,0,118,0,0.5342,0,5244,3,23.7424,0.0136,50,0,0.2264,0
8-Nov,河南省,1613,1.7233,0,0,12721,4,13.5908,0.0043,58,0,0.062,0,301,0,0.3216,0,14828,4,15.8419,0.0043,135,0,0.1442,0
10-Aug,辽宁省,511,1.1831,0,0,2262,2,5.2373,0.0046,60,0,0.1389,0,38,0,0.088,0,3070,2,7.1081,0.0046,199,0,0.4608,0
15-Dec,山东省,365,0.3729,0,0,3900,2,3.9839,0.002,73,0,0.0746,0,35,0,0.0358,0,4467,2,4.5631,0.002,94,0,0.096,0
8-Oct,云南省,266,0.5893,2,0.0044,1739,2,3.8525,0.0044,38,0,0.0842,0,323,0,0.7156,0,2433,4,5.3899,0.0089,67,0,0.1484,0
5-Feb,陕西省,172,0.4642,0,0,3260,2,8.7985,0.0054,5,0,0.0135,0,108,0,0.2915,0,3665,2,9.8916,0.0054,120,0,0.3239,0
12-Nov,河南省,2709,2.8856,0,0,7206,0,7.6758,0,41,0,0.0437,0,136,0,0.1449,0,10147,0,10.8085,0,55,0,0.0586,0
16-Jan,西??? 藏,1,0.0315,0,0,206,0,6.4872,0,1,0,0.0315,0,6,0,0.1889,0,214,0,6.7391,0,0,0,0,0
16-Jun,广东省,1936,1.8053,2,0.0019,12859,2,11.9909,0.0019,250,0,0.2331,0,174,0,0.1623,0,15331,4,14.296,0.0037,109,0,0.1016,0
12-Mar,湖北省,593,1.0299,0,0,5798,6,10.0695,0.0104,254,1,0.4411,0.0017,103,0,0.1789,0,6987,8,12.1344,0.0139,239,1,0.4151,0.0017
9-May,内蒙古,354,1.4666,0,0,2736,1,11.3351,0.0041,8,0,0.0331,0,43,0,0.1781,0,3169,1,13.129,0.0041,28,0,0.116,0
6-Jul,辽宁省,302,0.7155,1,0.0024,2270,3,5.3779,0.0071,121,0,0.2867,0,161,0,0.3814,0,3084,4,7.3063,0.0095,230,0,0.5449,0
7-Feb,贵州省,66,0.1757,1,0.0027,1826,0,4.86,0,6,0,0.016,0,273,0,0.7266,0,2250,1,5.9885,0.0027,79,0,0.2103,0
7-Nov,湖北省,291,0.5112,0,0,5433,9,9.5433,0.0158,98,1,0.1721,0.0018,152,0,0.267,0,6325,11,11.1101,0.0193,351,1,0.6165,0.0018
12-Apr,安徽省,358,0.5999,0,0,3324,1,5.5697,0.0017,198,0,0.3318,0,64,0,0.1072,0,4152,1,6.9571,0.0017,208,0,0.3485,0
6-Feb,青海省,49,0.9024,0,0,1003,1,18.4715,0.0184,2,0,0.0368,0,41,0,0.7551,0,1113,1,20.4972,0.0184,18,0,0.3315,0
7-Jul,四川省,230,0.2816,0,0,7180,11,8.7893,0.0135,55,0,0.0673,0,673,0,0.8238,0,8533,11,10.4456,0.0135,395,0,0.4835,0
15-Jun,山东省,318,0.3248,0,0,3815,2,3.8971,0.002,81,0,0.0827,0,34,0,0.0347,0,4345,2,4.4385,0.002,97,0,0.0991,0
11-Dec,安徽省,332,0.558,0,0,2597,0,4.3647,0,103,0,0.1731,0,85,0,0.1429,0,3320,0,5.5798,0,203,0,0.3412,0
11-Jan,天津市,34,0.2628,0,0,187,0,1.4453,0,24,0,0.1855,0,1,0,0.0077,0,257,0,1.9863,0,11,0,0.085,0
9-Apr,江苏省,144,0.1876,0,0,1288,2,1.6777,0.0026,374,2,0.4872,0.0026,168,0,0.2188,0,2356,5,3.0688,0.0065,382,1,0.4976,0.0013
9-Feb,天津市,28,0.2381,0,0,168,0,1.4286,0,19,0,0.1616,0,3,0,0.0255,0,233,0,1.9813,0,15,0,0.1276,0
10-Feb,江西省,103,0.2324,0,0,2554,2,5.7624,0.0045,66,0,0.1489,0,54,0,0.1218,0,2908,2,6.5611,0.0045,131,0,0.2956,0
4-May,云南省,62,0.1424,1,0.0023,1157,2,2.6571,0.0046,28,0,0.0643,0,581,0,1.3343,0,1947,3,4.4714,0.0069,119,0,0.2733,0
15-Dec,河北省,815,1.1038,0,0,4651,3,6.299,0.0041,59,0,0.0799,0,42,0,0.0569,0,5609,3,7.5964,0.0041,42,0,0.0569,0
16-Oct,海南省,227,2.5125,0,0,781,0,8.6444,0,30,0,0.332,0,8,0,0.0885,0,1059,0,11.7213,0,12,0,0.1328,0
16-Feb,福建省,274,0.7199,0,0,4931,0,12.9559,0,89,1,0.2338,0.0026,29,0,0.0762,0,5505,1,14.464,0.0026,179,0,0.4703,0
12-Dec,新疆,910,4.1201,0,0,3903,1,17.671,0.0045,28,0,0.1268,0,223,0,1.0096,0,5108,1,23.1267,0.0045,44,0,0.1992,0
15-Mar,广东省,1870,1.7438,3,0.0028,13336,4,12.4357,0.0037,287,0,0.2676,0,169,0,0.1576,0,15842,7,14.7725,0.0065,180,0,0.1678,0
11-Mar,辽宁省,613,1.4013,0,0,2723,0,6.2245,0,171,1,0.3909,0.0023,148,0,0.3383,0,3864,1,8.8328,0.0023,209,0,0.4778,0
9-Sep,甘肃省,469,1.7845,0,0,4245,1,16.1522,0.0038,6,0,0.0228,0,282,0,1.073,0,5064,1,19.2685,0.0038,62,0,0.2359,0
6-Sep,云南省,199,0.4472,0,0,1863,0,4.1866,0,19,0,0.0427,0,735,0,1.6517,0,2919,0,6.5597,0,103,0,0.2315,0
14-Oct,山西省,753,2.0745,0,0,3672,0,10.1163,0,63,0,0.1736,0,108,0,0.2975,0,4703,0,12.9566,0,107,0,0.2948,0
12-Jul,吉林省,637,2.3169,0,0,1367,0,4.972,0,17,0,0.0618,0,17,0,0.0618,0,2078,0,7.558,0,40,0,0.1455,0
8-Mar,湖北省,353,0.6194,0,0,6899,3,12.1056,0.0053,169,0,0.2965,0,222,0,0.3895,0,8048,3,14.1218,0.0053,405,0,0.7107,0
9-Aug,重庆市,127,0.4473,0,0,1674,0,5.8964,0,8,0,0.0282,0,119,0,0.4192,0,2024,0,7.1293,0,96,0,0.3381,0
13-Sep,河南省,2118,2.2518,2,0.0021,5130,2,5.454,0.0021,42,0,0.0447,0,67,0,0.0712,0,7400,4,7.8673,0.0043,43,0,0.0457,0
11-Aug,云南省,549,1.1944,0,0,2172,1,4.7252,0.0022,61,0,0.1327,0,191,0,0.4155,0,2999,1,6.5243,0.0022,26,0,0.0566,0
7-Mar,湖南省,196,0.3091,0,0,2752,3,4.3393,0.0047,60,0,0.0946,0,202,0,0.3185,0,3430,4,5.4084,0.0063,220,1,0.3469,0.0016
10-Aug,福建省,139,0.3832,0,0,3678,4,10.1406,0.011,54,0,0.1489,0,63,0,0.1737,0,4438,4,12.236,0.011,504,0,1.3896,0
14-Jul,陕西省,544,1.4453,0,0,2258,1,5.9989,0.0027,17,0,0.0452,0,46,0,0.1222,0,2902,1,7.7099,0.0027,37,0,0.0983,0
11-Mar,河南省,2963,3.1511,1,0.0011,13401,3,14.2517,0.0032,74,0,0.0787,0,163,0,0.1733,0,16672,4,17.7303,0.0043,71,0,0.0755,0
7-Feb,宁??? 夏,15,0.2483,0,0,531,0,8.7914,0,1,0,0.0166,0,56,0,0.9272,0,641,0,10.6126,0,38,0,0.6291,0
10-Jan,浙江省,170,0.3282,0,0,2811,0,5.4266,0,227,0,0.4382,0,53,0,0.1023,0,3526,0,6.8069,0,265,0,0.5116,0
14-Mar,福建省,263,0.6969,0,0,4135,3,10.9565,0.0079,108,0,0.2862,0,51,0,0.1351,0,4904,3,12.9942,0.0079,347,0,0.9194,0
11-May,云南省,527,1.1465,0,0,2042,0,4.4424,0,43,0,0.0935,0,192,0,0.4177,0,2839,0,6.1763,0,35,0,0.0761,0
11-Sep,辽宁省,444,1.0149,0,0,2085,0,4.7661,0,95,0,0.2172,0,42,0,0.096,0,2818,0,6.4417,0,152,0,0.3475,0
11-Nov,海南省,80,0.9226,0,0,595,1,6.8616,0.0115,7,0,0.0807,0,23,0,0.2652,0,753,1,8.6836,0.0115,48,0,0.5535,0
13-Oct,重庆市,265,0.8998,1,0.0034,1565,1,5.3141,0.0034,65,0,0.2207,0,81,0,0.275,0,2027,2,6.8829,0.0068,51,0,0.1732,0
11-Oct,海南省,120,1.3838,0,0,650,0,7.4958,0,4,0,0.0461,0,30,0,0.346,0,854,0,9.8483,0,50,0,0.5766,0
5-Aug,浙江省,118,0.2421,0,0,3901,3,8.0045,0.0062,78,0,0.16,0,214,0,0.4391,0,4809,3,9.8676,0.0062,498,0,1.0218,0
14-Apr,宁??? 夏,44,0.6726,0,0,398,0,6.0839,0,6,0,0.0917,0,11,0,0.1681,0,462,0,7.0622,0,3,0,0.0459,0
5-Aug,新??? 疆,164,0.8252,0,0,1884,0,9.4798,0,6,0,0.0302,0,433,0,2.1787,0,2636,0,13.2636,0,149,0,0.7497,0
10-Aug,江西省,141,0.3181,1,0.0023,2695,2,6.0806,0.0045,24,0,0.0541,0,81,0,0.1828,0,3044,3,6.868,0.0068,103,0,0.2324,0
9-Sep,陕西省,276,0.7337,1,0.0027,2407,1,6.3982,0.0027,10,0,0.0266,0,74,0,0.1967,0,2861,3,7.605,0.008,94,1,0.2499,0.0027
15-May,全??? 国,18311,1.344,7,0.0005,80583,20,5.9145,0.0015,2165,2,0.1589,0.0001,1756,2,0.1289,0.0001,105183,31,7.72,0.0023,2368,0,0.1738,0
6-Mar,河北省,191,0.2788,0,0,5089,0,7.4281,0,195,0,0.2846,0,123,0,0.1795,0,5832,0,8.5126,0,234,0,0.3416,0
8-Feb,全??? 国,7278,0.5508,8,0.0006,86401,78,6.5391,0.0059,1871,2,0.1416,0.0002,3828,0,0.2897,0,103568,94,7.8384,0.0071,4190,6,0.3171,0.0005
15-Mar,山东省,389,0.3974,0,0,4676,1,4.7766,0.001,170,0,0.1737,0,61,0,0.0623,0,5432,1,5.5488,0.001,136,0,0.1389,0
15-Feb,江苏省,185,0.2324,0,0,922,1,1.1583,0.0013,350,0,0.4397,0,45,0,0.0565,0,1692,1,2.1256,0.0013,190,0,0.2387,0
10-Aug,安徽省,203,0.3311,0,0,2559,2,4.1739,0.0033,71,0,0.1158,0,88,0,0.1435,0,3161,2,5.1558,0.0033,240,0,0.3915,0
5-Jun,湖南省,106,0.1684,0,0,1661,0,2.6392,0,7,0,0.0111,0,173,0,0.2749,0,2082,0,3.3081,0,135,0,0.2145,0
13-Sep,宁??? 夏,47,0.7262,0,0,359,0,5.5471,0,0,0,0,0,10,0,0.1545,0,418,0,6.4587,0,2,0,0.0309,0
11-May,上海市,37,0.1607,0,0,465,0,2.0201,0,53,1,0.2302,0.0043,12,0,0.0521,0,594,1,2.5805,0.0043,27,0,0.1173,0
7-Aug,陕西省,363,0.9719,0,0,3027,1,8.1044,0.0027,21,0,0.0562,0,190,1,0.5087,0.0027,3774,2,10.1044,0.0054,173,0,0.4632,0
13-Jan,北京市,100,0.4833,5,0.0242,254,23,1.2275,0.1111,45,0,0.2175,0,2,0,0.0097,0,401,28,1.9379,0.1353,0,0,0,0
8-Apr,陕西省,305,0.8138,0,0,2625,0,7.0037,0,11,0,0.0293,0,105,0,0.2801,0,3142,0,8.3831,0,96,0,0.2561,0
11-Feb,贵州省,203,0.5842,0,0,1516,3,4.363,0.0086,30,0,0.0863,0,77,0,0.2216,0,1884,3,5.4221,0.0086,58,0,0.1669,0
6-Apr,广东省,481,0.5232,1,0.0011,8701,10,9.4638,0.0109,178,1,0.1936,0.0011,195,0,0.2121,0,9972,15,10.8462,0.0163,417,3,0.4536,0.0033
11-Apr,安徽省,251,0.4218,0,0,2830,4,4.7563,0.0067,289,0,0.4857,0,98,0,0.1647,0,3739,4,6.284,0.0067,271,0,0.4555,0
16-Sep,宁??? 夏,61,0.9221,0,0,151,0,2.2826,0,5,0,0.0756,0,10,0,0.1512,0,232,0,3.507,0,5,0,0.0756,0
6-Aug,上海市,18,0.1012,0,0,509,0,2.8628,0,22,0,0.1237,0,23,0,0.1294,0,780,2,4.3869,0.0112,208,2,1.1699,0.0112
10-Mar,北京市,126,0.7179,2,0.0114,269,9,1.5328,0.0513,66,1,0.3761,0.0057,11,0,0.0627,0,487,12,2.7749,0.0684,15,0,0.0855,0
12-Mar,江西省,239,0.5325,0,0,3231,3,7.1986,0.0067,112,0,0.2495,0,56,0,0.1248,0,3799,3,8.464,0.0067,161,0,0.3587,0
14-Nov,青海省,178,3.0807,0,0,666,0,11.5267,0,7,0,0.1212,0,42,0,0.7269,0,901,0,15.5939,0,8,0,0.1385,0
11-Jun,四川省,636,0.7909,0,0,4882,3,6.0708,0.0037,96,0,0.1194,0,329,0,0.4091,0,6153,3,7.6513,0.0037,210,0,0.2611,0
5-Nov,天津市,45,0.4321,1,0.0096,515,1,4.9447,0.0096,21,0,0.2016,0,9,0,0.0864,0,686,2,6.5866,0.0192,96,0,0.9217,0
4-Dec,广西,225,0.4634,1,0.0021,1951,2,4.0178,0.0041,5,0,0.0103,0,113,0,0.2327,0,2433,4,5.0105,0.0082,139,1,0.2863,0.0021
14-Dec,河南省,1969,2.0917,1,0.0011,4662,0,4.9525,0,59,0,0.0627,0,36,0,0.0382,0,6761,1,7.1824,0.0011,35,0,0.0372,0
8-Mar,吉林省,543,1.989,0,0,1599,1,5.8572,0.0037,27,0,0.0989,0,38,0,0.1392,0,2318,1,8.4909,0.0037,111,0,0.4066,0
6-Mar,江苏省,130,0.1739,0,0,1818,0,2.4321,0,445,0,0.5953,0,303,0,0.4054,0,3292,1,4.404,0.0013,596,1,0.7973,0.0013
6-Nov,陕西省,347,0.9328,1,0.0027,2748,1,7.3871,0.0027,18,0,0.0484,0,110,0,0.2957,0,3338,2,8.9731,0.0054,115,0,0.3091,0
14-Sep,湖南省,1017,1.52,0,0,4492,0,6.7139,0,70,0,0.1046,0,63,0,0.0942,0,5775,0,8.6315,0,133,0,0.1988,0
7-Nov,山东省,110,0.1182,0,0,2937,1,3.155,0.0011,66,0,0.0709,0,50,0,0.0537,0,3426,1,3.6803,0.0011,263,0,0.2825,0
9-Sep,上海市,29,0.1536,0,0,399,2,2.1128,0.0106,30,0,0.1589,0,22,0,0.1165,0,517,2,2.7377,0.0106,37,0,0.1959,0
7-Mar,新疆,606,2.9561,1,0.0049,4514,2,22.0195,0.0098,19,0,0.0927,0,379,0,1.8488,0,5661,3,27.6146,0.0146,143,0,0.6976,0
15-Feb,吉林省,311,1.1299,0,0,781,0,2.8375,0,16,0,0.0581,0,17,0,0.0618,0,1142,0,4.1491,0,17,0,0.0618,0
9-Oct,陕西省,304,0.8081,0,0,2396,1,6.369,0.0027,21,0,0.0558,0,80,0,0.2127,0,2864,1,7.613,0.0027,63,0,0.1675,0
14-Dec,内蒙古,520,2.082,0,0,1827,1,7.315,0.004,8,0,0.032,0,23,0,0.0921,0,2387,1,9.5571,0.004,9,0,0.036,0
15-Feb,新疆,767,3.337,0,0,2683,0,11.673,0,32,0,0.1392,0,293,0,1.2748,0,3822,0,16.6285,0,47,0,0.2045,0
12-May,黑龙江省,595,1.5519,0,0,1307,0,3.409,0,34,0,0.0887,0,30,0,0.0782,0,2053,0,5.3547,0,87,0,0.2269,0
10-Jun,四川省,568,0.694,0,0,4660,6,5.6933,0.0073,63,0,0.077,0,497,0,0.6072,0,6084,6,7.4331,0.0073,296,0,0.3616,0
5-Feb,广??? 西,136,0.2942,1,0.0022,2300,2,4.9759,0.0043,21,0,0.0454,0,139,0,0.3007,0,2825,5,6.1117,0.0108,229,2,0.4954,0.0043
12-Jan,上海市,288,1.2269,0,0,1668,6,7.1056,0.0256,122,0,0.5197,0,22,0,0.0937,0,2136,6,9.0992,0.0256,36,0,0.1534,0
15-Dec,宁??? 夏,89,1.3453,0,0,277,0,4.1872,0,0,0,0,0,18,0,0.2721,0,389,0,5.8802,0,5,0,0.0756,0
11-Jun,天津市,35,0.2705,0,0,177,0,1.368,0,13,0,0.1005,0,2,0,0.0155,0,234,0,1.8086,0,7,0,0.0541,0
9-May,河北省,381,0.5452,0,0,5093,1,7.2873,0.0014,67,0,0.0959,0,74,0,0.1059,0,5725,1,8.1916,0.0014,110,0,0.1574,0
16-Feb,江苏省,239,0.3002,0,0,1171,1,1.4711,0.0013,294,0,0.3693,0,48,0,0.0603,0,1937,1,2.4334,0.0013,185,0,0.2324,0
8-Feb,黑龙江省,292,0.7636,0,0,1465,3,3.8311,0.0078,26,0,0.068,0,34,0,0.0889,0,1951,3,5.102,0.0078,134,0,0.3504,0
