pagenation,region,hpatitisc-incidence,heptitisc-ir,heptitisc-death,heptitisc-dr,heptitisb-incidence,heptitisb-death,heptitisb-ir,heptitisb-dr,hepatitise-incidence,hepatitise-death,hepatitise-ir,hepatitise-dr,hepatitisa-incidence,hepatitisa-death,hepatitisa-ir,hepatitisa-dr,hepatitis-incidence,hepatitis-death,hepatitis-ir,hepatitis-dr,hepatitisun-incidence,hepatitisun-death,hepatitisun-ir,hepatitisun-dr
11-Mar,天津市,37,0.286,0,0,196,0,1.5149,0,24,0,0.1855,0,1,0,0.0077,0,268,0,2.0714,0,10,0,0.0773,0
13-Nov,天津市,39,0.276,0,0,136,0,0.9624,0,9,0,0.0637,0,3,0,0.0212,0,190,0,1.3445,0,3,0,0.0212,0
10-Nov,安徽省,220,0.3588,0,0,2313,4,3.7726,0.0065,88,0,0.1435,0,81,0,0.1321,0,2890,4,4.7137,0.0065,188,0,0.3066,0
16-Apr,海南省,307,3.398,0,0,842,0,9.3195,0,37,0,0.4095,0,5,0,0.0553,0,1214,0,13.4369,0,22,0,0.2435,0
12-Jan,江苏省,384,0.4861,0,0,1896,2,2.4004,0.0025,694,0,0.8786,0,98,0,0.1241,0,3550,2,4.4944,0.0025,478,0,0.6052,0
5-Jun,海南省,27,0.329,0,0,630,0,7.6766,0,0,0,0,0,96,0,1.1698,0,792,0,9.6506,0,39,0,0.4752,0
7-Oct,河北省,205,0.2972,0,0,4412,0,6.3961,0,63,0,0.0913,0,98,0,0.1421,0,4882,0,7.0774,0,104,0,0.1508,0
10-Jul,浙江省,196,0.3784,0,0,2880,1,5.5598,0.0019,143,0,0.2761,0,78,0,0.1506,0,3567,1,6.8861,0.0019,270,0,0.5212,0
8-Jun,建设兵团,70,2.7082,0,0,258,0,9.9817,0,3,0,0.1161,0,17,0,0.6577,0,354,0,13.6958,0,6,0,0.2321,0
7-Dec,山西省,273,0.8089,1,0.003,2915,1,8.6371,0.003,6,0,0.0178,0,61,0,0.1807,0,3340,2,9.8963,0.0059,85,0,0.2519,0
10-Nov,黑龙江省,486,1.2703,0,0,1549,0,4.0486,0,46,0,0.1202,0,22,0,0.0575,0,2185,0,5.711,0,82,0,0.2143,0
10-Feb,湖南省,310,0.4839,0,0,2482,1,3.8745,0.0016,77,1,0.1202,0.0016,54,0,0.0843,0,3071,2,4.7939,0.0031,148,0,0.231,0
4-Feb,广西,156,0.3213,1,0.0021,2567,2,5.2864,0.0041,17,0,0.035,0,203,0,0.4181,0,3180,4,6.5488,0.0082,237,1,0.4881,0.0021
14-Jun,福建省,207,0.5485,0,0,3489,0,9.2448,0,48,0,0.1272,0,46,0,0.1219,0,4026,0,10.6677,0,236,0,0.6253,0
4-Apr,宁夏,6,0.1027,0,0,843,1,14.4361,0.0171,1,0,0.0171,0,72,0,1.233,0,955,1,16.3541,0.0171,33,0,0.5651,0
10-Aug,河南省,2284,2.4075,2,0.0021,11394,5,12.0101,0.0053,38,0,0.0401,0,236,0,0.2488,0,14058,7,14.8182,0.0074,106,0,0.1117,0
10-May,河南省,2449,2.5814,1,0.0011,11911,1,12.5551,0.0011,30,0,0.0316,0,198,0,0.2087,0,14707,2,15.5023,0.0021,119,0,0.1254,0
9-Jul,河北省,303,0.4335,0,0,5265,0,7.5334,0,41,0,0.0587,0,66,0,0.0944,0,5759,0,8.2402,0,84,0,0.1202,0
13-Jun,湖北省,619,1.0711,1,0.0017,4869,1,8.4253,0.0017,171,0,0.2959,0,87,0,0.1505,0,5961,3,10.3149,0.0052,215,1,0.372,0.0017
